,name,born,proven_victims,estimated_victims,zodiac_sign
306,"Kibbe, Roger",5/21/1939,8,8+,gemini
307,"Kimball, Scott Lee",9/21/1966,4,5+,virgo
308,"Kimes, Sante",7/24/1934,2,3,leo
309,"Kinne, Sharon",11/30/1939,3,3,sagittarius
310,"Kirkland, Anthony",9/13/1968,5,6,virgo
311,"Knight, Thomas",2/4/1951,4,4,aquarius
312,"Knighton, Robert Wesley",2/5/1941,5,5,aquarius
313,"Knorr, Theresa",3/14/1946,2,3,pisces
314,"Knotek, Michelle",4/15/1954,2,3,aries
315,"Knowles, Paul John",4/25/1946,18,35,taurus
316,"Koedatich, James",6/12/1948,4,4,gemini
317,"Kohlhepp, Todd",3/7/1971,7,10+,pisces
318,"Kokoraleis, Andrew",11/30/1953,18,18,sagittarius
319,"Kokoraleis, Thomas",11/30/1953,18,18,sagittarius
320,"Kondro, Joseph",5/19/1959,2,3+,taurus
321,"Koster, Brent",3/22/1945,3,3,aries
322,Danny Ranes,3/22/1945,3,3,aries
323,"Kraft, Randy",3/19/1945,16,67,pisces
324,"Krajcir, Timothy",11/28/1944,9,9,sagittarius
325,"Kudzinowski, Peter",8/13/1903,3,3,leo
326,"LaBarre, Sheila",7/4/1958,2,4,cancer
327,"Lagrone, Edward",3/3/1957,4,6,pisces
328,"Lake, Leonard",10/29/1945,11,25,scorpio
329,Charles Ng,12/24/1960,11,25,capricorn
330,"LaLaurie, Delphine",1787-03-19,?,?,pisces
331,"Lane, Adam Leroy",8/7/1964,2,2+,leo
332,"LaRette, Anthony",10/1/1951,16,31,libra
333,"Laudenberg, Adolph",6/13/1926,4,6,gemini
334,"Lee, Derrick Todd",11/5/1968,7,7+,scorpio
335,"Lewingdon, Gary",2/14/1940,10,10,aquarius
336,Thaddeus Lewingdon,2/14/1940,10,10,aquarius
337,"Lewingdon, Thaddeus",2/14/1940,9,9,aquarius
338,Gary Lewingdon,2/14/1940,9,9,aquarius
339,"Liberty, Robert",5/15/1947,3,3,taurus
340,"Lindahl, Bruce",1/29/1953,2,12+,aquarius
341,"Little, Samuel",6/7/1940,61,93+,gemini
342,"Long, Bobby Joe",10/14/1953,10,10+,libra
343,"Long, Neal",9/19/1927,4,7+,virgo
344,"Lucas, Henry Lee",8/23/1936,3,200+,virgo
345,"Lyles, Anjette",8/23/1925,4,4,virgo
346,"Lynch, Franklin",7/21/1955,3,13,cancer
347,"Madison, Michael",10/15/1977,3,3+,libra
348,"Majors, Orville Lynn",4/24/1961,6,130,taurus
349,"Malone, Kelvin Shelby",1/10/1961,4,5+,capricorn
350,"Malvo, Lee Boyd",2/18/1985,7,17,aquarius
351,John Allen Muhammad,12/31/1960,7,17,capricorn
352,"Marquette, Richard Laurence",12/12/1934,3,3,sagittarius
353,"Martin, James David",12/11/1971,3,3,sagittarius
354,"Masini, Frank",4/14/1944,4,4,aries
355,"Mason, David",12/2/1956,5,6,sagittarius
356,"Mason, Samuel",1739-11-08,20,20+,scorpio
357,"Matthews, Eric",5/3/1974,4,4,taurus
358,"Maury, Robert",2/24/1958,3,3+,pisces
359,"Maust, David Edward",4/5/1954,5,5,aries
360,"Mayrand, Edward",1947,3,3,
361,"Mays, Reta",6/16/1975,7,8+,gemini
362,"McCoy, Stephen",1/30/1945,3,3,aquarius
363,James Paster,1/30/1945,3,3,aquarius
364,"McFadden, Jerry Walter",3/21/1948,4,4,aries
365,"McKnight, Anthony",1954,5,5,
366,"McKnight, Gregory",11/14/1976,3,3,scorpio
367,"McWatters, Eugene",6/28/1978,3,3,cancer
368,"Meirhofer, David",6/8/1949,4,4,gemini
369,"Melanson, Roy",2/13/1937,3,5+,aquarius
370,"Metheny, Joe",3/2/1953,5,10,pisces
371,"Mikhel, Iouri",10/22/1966,5,5,libra
372,Jurijus Kadamovas,10/22/1966,5,5,libra
